roomNum,6/1 a.m.,6/1 p.m.,6/2 a.m.,6/2 p.m.,6/3 a.m.,6/3 p.m.,6/4 a.m.,6/4 p.m.,6/5 a.m.,6/5 p.m.,6/6 a.m.,6/6 p.m.,6/7 a.m.,6/7 p.m.
101,possible,possible,possible,possible,possible,possible,possible,possible,possible,impossible,possible,possible,possible,possible
102,possible,possible,possible,possible,possible,possible,impossible,possible,possible,possible,possible,possible,possible,possible
105,possible,possible,possible,possible,possible,possible,impossible,possible,possible,possible,possible,possible,possible,possible
204,possible,possible,possible,possible,possible,possible,impossible,possible,possible,possible,possible,possible,possible,possible
208,possible,possible,possible,possible,possible,possible,possible,possible,possible,impossible,possible,possible,possible,possible
302,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible
401,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible
410,possible,possible,possible,possible,possible,impossible,impossible,possible,impossible,possible,possible,possible,possible,impossible
501,possible,impossible,possible,possible,impossible,possible,possible,impossible,possible,possible,possible,possible,possible,possible
505,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible
603,possible,impossible,possible,possible,impossible,possible,possible,impossible,possible,possible,possible,possible,possible,possible
606,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible,possible
707,possible,possible,possible,possible,possible,possible,impossible,possible,possible,impossible,possible,possible,possible,possible
805,possible,impossible,possible,possible,impossible,impossible,possible,impossible,impossible,possible,possible,possible,possible,impossible
